TIME,NE,SE,SW,NW,Quat.x,Quat.y,Quat.z,Quat.w
0,0.350313,0.351562,0.352812,0.351562,0.000000,-0.000000,0.000000,-1.000000
0,0.347917,0.349375,0.350625,0.349167,0.000000,-0.000000,0.000000,-1.000000
0,0.349167,0.35,0.351458,0.350625,0.000000,-0.000000,0.000000,-1.000000
0,0.347187,0.348229,0.349896,0.348854,0.000000,-0.000000,0.000000,-1.000000
0,0.3475,0.34875,0.350417,0.349167,0.000000,-0.000000,0.000000,-1.000000
0,0.346875,0.348125,0.349792,0.348542,0.000000,-0.000000,0.000000,-1.000000
0,0.344792,0.346042,0.347708,0.346458,0.000000,-0.000000,0.000000,-1.000000
0,0.344792,0.34625,0.347917,0.346458,0.000000,-0.000000,0.000000,-1.000000
0,0.344687,0.345521,0.346562,0.345729,0.000000,-0.000000,0.000000,-1.000000
0,0.343958,0.345417,0.347083,0.345625,0.000000,-0.000000,0.000000,-1.000000
0,0.343854,0.345313,0.346979,0.345521,0.000000,-0.000000,0.000000,-1.000000
0,0.344479,0.345938,0.347396,0.345938,0.000000,-0.000000,0.000000,-1.000000
0,0.344271,0.345104,0.346562,0.345729,0.000000,-0.000000,0.000000,-1.000000
0,0.342708,0.343958,0.345208,0.343958,0.000000,-0.000000,0.000000,-1.000000
0,0.344271,0.345521,0.346771,0.345521,0.000000,-0.000000,0.000000,-1.000000
0,0.342708,0.343958,0.345625,0.344375,0.000000,-0.000000,0.000000,-1.000000
0,0.342917,0.343958,0.345417,0.344375,0.000000,-0.000000,0.000000,-1.000000
0,0.344167,0.345208,0.34625,0.345208,0.000000,-0.000000,0.000000,-1.000000
0,0.343021,0.344062,0.345521,0.344479,0.000000,-0.000000,0.000000,-1.000000
0,0.342187,0.343021,0.344479,0.343646,0.000000,-0.000000,0.000000,-1.000000
0,0.341771,0.342604,0.343854,0.343021,0.000000,-0.000000,0.000000,-1.000000
0,0.339375,0.340625,0.341875,0.340625,0.000000,-0.000000,0.000000,-1.000000
0,0.337813,0.338854,0.340104,0.339062,0.000000,-0.000000,0.000000,-1.000000
0,0.338646,0.339687,0.341562,0.340521,0.000000,-0.000000,0.000000,-1.000000
0,0.339271,0.340104,0.341771,0.340938,0.000000,-0.000000,0.000000,-1.000000
0,0.342292,0.343125,0.344792,0.343958,0.000000,-0.000000,0.000000,-1.000000
0,0.340833,0.341667,0.343333,0.3425,0.000000,-0.000000,0.000000,-1.000000
0,0.342396,0.343021,0.344479,0.343854,0.000000,-0.000000,0.000000,-1.000000
0,0.342187,0.342813,0.344062,0.343438,0.000000,-0.000000,0.000000,-1.000000
0,0.344375,0.344792,0.345833,0.345417,0.000000,-0.000000,0.000000,-1.000000
0,0.344896,0.345938,0.346979,0.345938,0.000000,-0.000000,0.000000,-1.000000
0,0.348125,0.349167,0.35,0.348958,0.000000,-0.000000,0.000000,-1.000000
0,0.351146,0.351979,0.353438,0.352604,0.000000,-0.000000,0.000000,-1.000000
0,0.351042,0.351667,0.353125,0.3525,0.000000,-0.000000,0.000000,-1.000000
0,0.349375,0.35,0.35125,0.350625,0.000000,-0.000000,0.000000,-1.000000
0,0.347187,0.348438,0.349687,0.348438,0.000000,-0.000000,0.000000,-1.000000
0,0.3475,0.348125,0.349375,0.34875,0.000000,-0.000000,0.000000,-1.000000
0,0.346354,0.346979,0.348229,0.347604,0.000000,-0.000000,0.000000,-1.000000
0,0.345521,0.346354,0.347604,0.346771,0.000000,-0.000000,0.000000,-1.000000
0,0.346146,0.346979,0.348438,0.347604,0.000000,-0.000000,0.000000,-1.000000
0,0.348333,0.348958,0.35,0.349375,0.000000,-0.000000,0.000000,-1.000000
0,0.346458,0.347083,0.348333,0.347708,0.000000,-0.000000,0.000000,-1.000000
0,0.344896,0.346146,0.347396,0.346146,0.000000,-0.000000,0.000000,-1.000000
0,0.345521,0.346771,0.348229,0.346979,0.000000,-0.000000,0.000000,-1.000000
0,0.342604,0.343646,0.345104,0.344062,0.000000,-0.000000,0.000000,-1.000000
0,0.343854,0.344896,0.346354,0.345313,0.000000,-0.000000,0.000000,-1.000000
0,0.341146,0.342187,0.343646,0.342604,0.000000,-0.000000,0.000000,-1.000000
0,0.342604,0.343854,0.345104,0.343854,0.000000,-0.000000,0.000000,-1.000000
0,0.344167,0.344792,0.34625,0.345625,0.000000,-0.000000,0.000000,-1.000000
0,0.345417,0.346875,0.348542,0.347083,0.000000,-0.000000,0.000000,-1.000000
0,0.346458,0.347917,0.349583,0.348125,0.000000,-0.000000,0.000000,-1.000000
0,0.347708,0.349167,0.350833,0.349375,0.000000,-0.000000,0.000000,-1.000000
0,0.349583,0.350833,0.352708,0.351458,0.000000,-0.000000,0.000000,-1.000000
0,0.35,0.35125,0.3525,0.35125,0.000000,-0.000000,0.000000,-1.000000
0,0.347396,0.348854,0.350729,0.349271,0.000000,-0.000000,0.000000,-1.000000
0,0.349792,0.35125,0.352708,0.35125,0.000000,-0.000000,0.000000,-1.000000
0,0.347187,0.348646,0.350104,0.348646,0.000000,-0.000000,0.000000,-1.000000
0,0.348438,0.349896,0.351354,0.349896,0.000000,-0.000000,0.000000,-1.000000
0,0.347917,0.349583,0.35125,0.349583,0.000000,-0.000000,0.000000,-1.000000
0,0.346562,0.347604,0.349271,0.348229,0.000000,-0.000000,0.000000,-1.000000
0,0.348125,0.349167,0.350833,0.349792,0.000000,-0.000000,0.000000,-1.000000
0,0.349583,0.350833,0.352917,0.351667,0.000000,-0.000000,0.000000,-1.000000
